,Unnamed: 0,Countries,Sales,SalesLog
0,0,United States,858373000,20.57054929491842
1,1,Austria,8376632,15.940956482363196
2,2,Belgium,8682740,15.976847705026573
3,3,Bulgaria,1469984,14.200762074341943
4,4,Croatia,1144369,13.950363951360575
5,5,Czech Republic,6610971,15.704241099677747
6,6,Denmark,10254418,16.143219195074607
7,7,Egypt,1754341,14.377603845789361
8,8,Finland,4938241,15.412519752880613
9,9,France,62387891,17.948881760021468
10,10,Germany,64319294,17.979370206406585
11,11,Greece,4175061,15.2446395269388
12,12,Hungary,4476885,15.314438050049322
13,13,Iceland,749185,13.526741227995528
14,14,Italy,34025303,17.342615011678905
15,15,Lithuania,627672,13.34977301601421
16,16,Netherlands,15067561,16.528054712779788
17,17,Nigeria,1360313,14.123225378291286
18,18,Norway,8144856,15.912897120303986
19,19,Poland,10558455,16.172437518720322
20,20,Portugal,4296991,15.273425568270415
21,21,Romania,3376295,15.03228951239703
22,22,Serbia and Montenegro,804153,13.597544828564102
23,23,Slovakia,1990548,14.503920535675842
24,24,Slovenia,611641,13.323900788069414
25,25,South Africa,7167751,15.785102495310321
26,26,Spain,32666285,17.30185406422501
27,27,Sweden,11757454,16.279997980397344
28,28,Switzerland,8710255,15.980011625093587
29,29,Turkey,7920068,15.884910349612337
30,30,Ukraine,5971461,15.602502179046935
31,31,United Arab Emirates,12783189,16.363641506302532
32,32,United Kingdom,114921662,18.559761254205384
33,33,Argentina,17724843,16.690477772797397
34,34,Bolivia,3617750,15.101362843600239
35,35,Brazil,85667373,18.26598259929358
36,36,Chile,18864424,16.75278837818184
37,37,Colombia,17689425,16.68847756136801
38,38,Mexico,77594725,18.167010006038797
39,39,Paraguay,1564327,14.262966257517254
40,40,Uruguay,1366731,14.127932315069252
41,41,Venezuela,1001684,13.817193141626127
42,42,Australia,59103419,17.894799331802847
43,43,Hong Kong,29330722,17.19414605708434
44,44,India,62678476,17.953528661180755
45,45,Indonesia,34775278,17.36441728999057
46,46,Japan,55280047,17.827922587640405
47,47,Malaysia,21043570,16.862105608246384
48,48,New Zealand,9306545,16.04622847403898
49,49,Philippines,32839486,17.307142190781676
50,50,Russia/CIS,46006725,17.644298139420002
51,51,Singapore,14346820,16.479038872824923
52,52,South Korea,105229503,18.4716542657181
53,53,Taiwan,29386075,17.19603148065053
54,54,Thailand,27230829,17.119860308549356
55,55,Vietnam,11703305,16.275381838510885
56,56,China,614316021,20.236020045885237
