,year,0
0,1983,1867792
1,1984,6250994
2,1985,39529428
3,1986,91258000
4,1987,25686751
5,1988,23529410
6,1989,25021340
7,1990,31053601
8,1991,36489888
9,1992,9493259
10,1993,22700519
11,1994,70341976
12,1995,24210014
13,1997,4713506
14,1998,58844536
15,1999,83712986
16,2000,19393557
17,2003,60031754
18,2004,188392
19,2005,35931423
20,2006,67366196
21,2007,42790733
22,2008,563926352
23,2009,240748837
24,2010,412972374
25,2011,186848418
26,2012,623357910
27,2013,409013994
28,2014,78543391
29,2015,459005868
30,2016,408084349
31,2017,334201140
32,2018,678815482
33,2019,858373000
